section,question
1,What is UI design?
1,What is UX design?
1,What is wireframing?
1,What is prototyping?
1,What is user research?
1,What is usability testing?
1,What is information architecture?
1,What is color theory?
1,What is typography?
1,What is visual hierarchy?

2,What is Figma?
2,What is Adobe XD?
2,What is design system?
2,What is component library?
2,What is responsive design?
2,What is grid system?
2,What is accessibility?
2,What is contrast ratio?
2,What is mobile-first design?
2,What is dark mode design?

3,What is user persona?
3,What is user journey?
3,What is empathy map?
3,What is A/B testing?
3,What is design thinking?
3,What is heuristic evaluation?
3,What is microinteraction?
3,What is animation in UI?
3,What is feedback loop?
3,What is usability principle?

4,What is collaboration with developers?
4,What is handoff process?
4,What is version control in design?
4,What is component reusability?
4,What is accessibility compliance?
4,What is WCAG?
4,What is design token?
4,What is UX writing?
4,What is content strategy?
4,What is dashboard design?

5,What is portfolio presentation?
5,How do you explain design decisions?
5,What is case study?
5,What is iteration?
5,What is stakeholder communication?
5,What is product thinking?
5,What is branding?
5,What is user retention?
5,What is conversion optimization?
5,What is analytics in design?
